                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.90197,                0.66483,                 1.1825,                0.77707,                0.84032,                0.85025,                 0.5939,                 1.1202,                0.78963,                 1.4149,              0.0004358,              0.0004358,              0.0004358
                     82,                0.88314,                0.65343,                 1.1737,                0.77971,                0.81377,                0.84747,                0.58227,                 1.1546,                0.79503,                 1.4473,               0.000416,               0.000416,               0.000416
                     83,                0.89639,                0.65665,                 1.1845,                0.80411,                0.81547,                0.85925,                 0.5898,                 1.1494,                0.80223,                 1.4499,              0.0003962,              0.0003962,              0.0003962
                     84,                0.88351,                0.65003,                 1.1697,                0.79022,                0.81027,                0.85417,                0.59611,                 1.1325,                0.79419,                 1.4322,              0.0003764,              0.0003764,              0.0003764
                     85,                0.88559,                0.65528,                 1.1724,                0.81586,                 0.8011,                0.85416,                0.59282,                 1.1287,                0.79764,                 1.4361,              0.0003566,              0.0003566,              0.0003566
                     86,                0.87249,                0.63886,                  1.171,                0.80406,                0.80607,                0.84797,                0.59015,                 1.1518,                0.80415,                 1.4523,              0.0003368,              0.0003368,              0.0003368
                     87,                0.88037,                0.64257,                 1.1691,                0.78414,                0.83036,                0.85024,                 0.5996,                 1.1456,                0.78372,                 1.4376,               0.000317,               0.000317,               0.000317
                     88,                0.89096,                0.64952,                 1.1775,                0.79142,                0.80134,                0.84388,                0.59109,                 1.1412,                0.79983,                 1.4373,              0.0002972,              0.0002972,              0.0002972
                     89,                0.87319,                0.64116,                 1.1707,                 0.8093,                0.78795,                0.85266,                 0.5895,                 1.1473,                0.79338,                 1.4465,              0.0002774,              0.0002774,              0.0002774
                     90,                0.86282,                0.63145,                 1.1593,                0.81855,                0.78795,                0.85003,                0.59021,                 1.1401,                0.80268,                 1.4446,              0.0002576,              0.0002576,              0.0002576
                     91,                0.74158,                0.43822,                 1.1008,                0.82281,                0.78795,                0.83249,                0.56794,                 1.1797,                 0.8297,                 1.4898,              0.0002378,              0.0002378,              0.0002378
                     92,                0.70086,                0.39167,                 1.0681,                0.80946,                0.80604,                0.84949,                0.58421,                 1.1675,                0.82357,                 1.4838,               0.000218,               0.000218,               0.000218
                     93,                0.70731,                0.39132,                 1.0831,                0.79914,                 0.7904,                0.84785,                0.58674,                 1.1536,                0.81246,                 1.4692,              0.0001982,              0.0001982,              0.0001982
                     94,                0.68389,                0.37726,                 1.0589,                 0.8036,                0.79018,                0.84603,                 0.5868,                 1.1411,                0.84719,                 1.4594,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.6718,                0.37017,                 1.0528,                0.80441,                0.80787,                0.84901,                0.58744,                 1.1359,                0.81927,                 1.4514,              0.0001586,              0.0001586,              0.0001586
                     96,                0.66775,                0.37205,                  1.046,                0.83043,                0.75446,                0.84834,                 0.5932,                 1.1427,                0.83554,                 1.4643,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.6586,                0.36692,                 1.0435,                0.82177,                0.78125,                0.84891,                0.59505,                 1.1253,                0.83363,                 1.4483,               0.000119,               0.000119,               0.000119
                     98,                 0.6675,                 0.3585,                 1.0571,                0.79234,                0.79464,                 0.8485,                0.59865,                 1.1234,                0.82722,                 1.4501,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.64984,                0.39045,                 1.0382,                0.78934,                0.80804,                0.84805,                0.59726,                  1.129,                0.82379,                 1.4604,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.65702,                0.35956,                 1.0473,                0.79252,                0.79911,                0.84238,                0.59623,                   1.13,                0.82928,                 1.4683,               5.96e-05,               5.96e-05,               5.96e-05
